0,0,0.01,4
0,1,4.96,264
0,2,1.73,6
0,3,0.02,0
0,4,0.01,146
0,5,5.59,100000
0,6,0.02,59
0,7,6.00,0
0,8,3.51,13200
0,9,0.01,0
0,10,0.01,224
0,11,0.41,0
0,12,0.02,265
0,13,5.59,100000
1,0,0.02,4
1,1,4.36,264
1,2,2.11,6
1,3,0.01,0
1,4,0.01,146
1,5,5.78,100000
1,6,0.02,59
1,7,6.33,0
1,8,3.49,13200
1,9,0.01,0
1,10,0.01,224
1,11,0.00,0
1,12,0.02,265
1,13,6.02,100000
2,0,0.02,4
2,1,4.22,264
2,2,1.76,6
2,3,0.00,0
2,4,0.01,146
2,5,5.72,100000
2,6,0.04,59
2,7,6.10,0
2,8,3.50,13200
2,9,0.01,0
2,10,0.01,224
2,11,0.00,0
2,12,0.01,265
2,13,6.01,100000
3,0,0.03,4
3,1,4.48,264
3,2,1.77,6
3,3,0.00,0
3,4,0.01,146
3,5,5.73,100000
3,6,0.03,59
3,7,6.09,0
3,8,3.47,13200
3,9,0.00,0
3,10,0.01,224
3,11,0.00,0
3,12,0.02,265
3,13,6.00,100000
4,0,0.02,4
4,1,4.29,264
4,2,1.77,6
4,3,0.00,0
4,4,0.01,146
4,5,5.74,100000
4,6,0.02,59
4,7,6.18,0
4,8,3.51,13200
4,9,0.00,0
4,10,0.01,224
4,11,0.00,0
4,12,0.02,265
4,13,6.13,100000
