0,0,1.25,4
0,1,8.67,2528
0,2,0.04,6
0,3,0.26,34
0,4,0.35,719
0,5,300.31,
0,6,119.05,67
0,7,41.54,7790
0,8,31.84,272982
0,9,157.25,
0,10,0.28,224
0,11,22.42,15
0,12,0.02,0
0,13,55.85,
1,0,1.42,4
1,1,247.07,2528
1,2,0.08,6
1,3,0.47,34
1,4,0.55,719
1,5,300.30,
1,6,300.33,
1,7,300.29,
1,8,32.96,272982
1,9,169.75,
1,10,12.45,224
1,11,4.92,15
1,12,0.03,0
1,13,48.93,
2,0,0.68,4
2,1,214.76,2528
2,2,0.04,6
2,3,0.35,34
2,4,0.39,719
2,5,300.31,
2,6,300.31,
2,7,300.29,
2,8,77.39,272982
2,9,300.29,
2,10,139.65,224
2,11,9.97,15
2,12,0.03,0
2,13,42.45,
3,0,0.03,4
3,1,5.34,2528
3,2,0.02,6
3,3,0.13,34
3,4,0.23,719
3,5,300.30,
3,6,300.30,
3,7,300.43,
3,8,49.82,272982
3,9,300.88,
3,10,41.33,224
3,11,0.02,
3,12,0.02,
3,13,61.00,
4,0,0.09,4
4,1,99.78,2528
4,2,0.03,6
4,3,0.08,
4,4,0.53,719
4,5,300.34,
4,6,300.41,
4,7,209.44,7790
4,8,23.01,272982
4,9,221.30,
4,10,0.99,
4,11,49.10,15
4,12,0.04,0
4,13,38.69,
