0,0,0.30,4
0,1,6.32,264
0,2,0.06,6
0,3,0.13,34
0,4,0.03,
0,5,126.59,
0,6,2.64,67
0,7,109.10,7790
0,8,2.40,27247
0,9,0.90,4
0,10,0.51,4
0,11,0.11,224
1,0,0.03,4
1,1,7.10,264
1,2,0.01,6
1,3,0.16,34
1,4,0.19,719
1,5,300.32,
1,6,1.19,67
1,7,0.90,7790
1,8,0.00,
1,9,0.41,4
1,10,0.41,4
1,11,0.03,224
2,0,0.02,4
2,1,7.33,264
2,2,0.02,6
2,3,0.08,34
2,4,0.20,719
2,5,299.04,
2,6,3.84,67
2,7,5.59,7790
2,8,5.10,27247
2,9,0.53,4
2,10,0.45,4
2,11,0.09,224
3,0,0.00,
3,1,6.91,264
3,2,0.01,6
3,3,0.17,34
3,4,0.19,719
3,5,147.85,
3,6,2.49,67
3,7,2.16,7790
3,8,4.58,27247
3,9,0.71,4
3,10,0.55,4
3,11,0.05,224
4,0,0.03,4
4,1,28.28,264
4,2,0.02,6
4,3,0.10,34
4,4,0.01,
4,5,300.22,
4,6,1.31,67
4,7,0.99,7790
4,8,1.85,27247
4,9,0.56,4
4,10,0.43,4
4,11,0.05,224
